"company","product","price","brief","newest time","oldest time","if Kontakt"
"Audioworkshop","Orchestral Library Toolbox","$48.63","Video Tutorial - in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Omnisphere 2","$38.71","German tutorial videos about Spectrasonics Omnisphere","no reviews","no reviews","0"
"Audioworkshop","Logic Pro X Praxis","$43.67","Video Tutorial in German language only!","no reviews","no reviews","no requirement"
"Audioworkshop","Cubase Complete - Die Referenz","$43.67","Video Tutorial in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Wavelab - Das Videokompendium","$58.55","Wavelab Tutorial - German language only!","no reviews","no reviews","no requirement"
"Audioworkshop","HALion & HALion Sonic Praxis Tutorial Video","$38.71","Video Tutorial in German language only!","no reviews","no reviews","no requirement"
"Audioworkshop","Mixing & Mastering mit Cubase","$43.67","Mixing & Mastering mit Cubase Tutorial-Video","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Logic PRO X","$38.71","Logic PRO X Video-Tutorial - in GERMAN only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Studio One Vol. 2","$38.71","Studio One Video-Tutorial advanced - in GERMAN only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Ableton Push","$34.74","Comprehensive german video tutorial for Ableton Push","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Cubase MixConsole","$28.78","German video tutorial for the new Cubase 7 MixConsole","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Cubase Vol.1","$24.81","Basics for Cubase Steinberg on video - in GERMAN only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Cubase Vol.2","$34.74","Video Cubase VST, Midi & Editing - IN GERMAN LANGUAGE ONLY","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Cubase Vol.3","$34.74","Cubase Video: Recording - IN GERMAN LANGUAGE ONLY!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Cubase Vol.5","$34.74","Video Cubase  - in GERMAN LANGUAGE ONLY!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Studio One Vol. 1","$38.71","Studio One Video-Tutorial basic - in GERMAN only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Audio Mixing Mastering","$68.48","Basics Audio Mixing Mastering Video - in GERMAN only!","no reviews","no reviews","no requirement"
"Audioworkshop","Cubase Complete Basic Tutorial","$28.78","Video Tutorial - in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Softube Modular","$34.74","Softube Modular Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Wavelab - Das Praxistutorial","$24.71","Wavelab 9 Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Behringer X Air","$34.74","Behringer X Air Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On UVI Falcon","$38.71","UVI Falcon Tutorial - German language only!","no reviews","no reviews","no requirement"
"Audioworkshop","Orchestral Library Toolbox English","$58.55","Unique Video Guide from Audio-Workshop","no reviews","no reviews","no requirement"
"Audioworkshop","Sprachaufnahmen Tutorial","$28.78","Video Tutorial - in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On NI Komplete","$48.63","NI KOMPLETE Tutorial - German language only!","no reviews","no reviews","0"
"Audioworkshop","Vocal Recording & Editing","$43.67","Video Tutorial - in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Live Producer Strategies No1","$34.74","Live Producer Strategies Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Studio One 3 Praxistutorial","$19.75","Studio One 3 Praxistutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Omnisphere 2 - Upgrade","$19.75","Omnisphere 2 Video Tutorial - German language only!","no reviews","no reviews","0"
"DVD-Lernkurs","Hands On NI Battery","$34.74","Native Instruments Battery Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands On Behringer X32","$34.74","Behringer X32 Tutorial - German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Maschine","$34.74","First comprehensive german video tutorial for NI's Machine","no reviews","no reviews","0"
"DVD-Lernkurs","Hands on Ableton Live Vol.1","$38.71","The Universe of Ableton live - in German language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Ableton Live Vol.2","$38.71","Follow Action für creative song structures - in GERMAN only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Ableton Live Vol.3","$38.71","ABLETON LIVE for DJs & Producer - in GERMAN language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Ableton Live Vol.4","$48.63","The whole World of DJing with ABLETON LIVE - in GERMAN only!","no reviews","no reviews","no requirement"
"Audioworkshop","Mixing Praxis Tutorial Video","$33.74","Mixing Praxis tutorial video in German language only!","no reviews","no reviews","no requirement"
"Audioworkshop","Homestudio Praxis","$18.86","German home studio practice tutorials for beginners","no reviews","no reviews","no requirement"
"Audioworkshop","Filmmusik & Sounddesign Tutorial-Video","$43.67","Filmmusik & Sounddesign Video - IN GERMAN LANGUAGE ONLY!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on Fieldrecording","$48.63","Video HANDS ON Field Recording - in GERMAN language only!","no reviews","no reviews","no requirement"
"DVD-Lernkurs","Hands on NI Kontakt","$38.71","NI Kontakt Basics and Praxis on DVD - in GERMAN only!","no reviews","no reviews","no requirement"
