"Kinds","company","product","price","brief","newest time","oldest time","if Kontakt"
"Reverbs","VSL Software","Vienna MIR PRO","$645.00","Multi Impulse Response convolution based mixing solution","2012","2009","0"
"Reverbs","Lexicon","PCM Native Reverb Bundle","$217.34","PCM Native Reverb Plug-in Bundle","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx Bundle","$325.00","Five MIRx Reverb Mixing Extensions for Vienna Instruments","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR PRO 24","$299.00","Special and cheaper version of Vienna MIR PRO","2012","2012","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 6","$210.00","MIR RoomPack 6 – Synchron Stage Vienna","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx Pernegg Monastery","$89.00","Convolution Reverb Extension","no reviews","no reviews","0"
"Reverbs","FabFilter","Pro-R","$187.57","Reverb Plug-in with a natural sound & musical controls","no reviews","no reviews","0"
"Reverbs","Brainworx","bx_rooMS","$99.00","Simulations of rooms, halls, churches, plates and ambience","no reviews","no reviews","0"
"Reverbs","Zynaptiq","Adaptiverb","$257.04","Harmonic Tracking Resynthesis Reverb","no reviews","no reviews","0"
"Reverbs","Audioease","Indoor","$769.14","Flagship Convolution Reverb for Audio Post","no reviews","no reviews","0"
"Reverbs","Eventide","TVerb","$247.12","Legendary Signature Reverb Plug-in","no reviews","no reviews","0"
"Reverbs","Tone2","UltraSpace","$69.00","Complete Ambience-modeling Solution","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx The Sage Gateshead","$85.00","Convolution Reverb for Vienna Instruments & Instruments PRO","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 5","$120.00","Vienna MIR RoomPack 5 – Pernegg Monastery","no reviews","no reviews","0"
"Reverbs","Audioease","Altiverb 7 XL","$920.98","With 5.1 Surround & sample rates over 96 kHz","2015","2015","0"
"Reverbs","Audioease","Altiverb 7","$524.01","The original, professional convolution reverb","2015","2015","0"
"Reverbs","McDSP","Revolver Native","$149.00","A high-powered Convolution Reverb","no reviews","no reviews","0"
"Reverbs","Eventide","UltraReverb","$197.49","9 Hardware-Based Reverb Algorithms in a single plug-in","2015","2015","0"
"Reverbs","Waves","TrueVerb","$38.71","Legendary Reverb plugin","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx Konzerthaus Grosser Saal","$85.00","Reverb Mixing Extension for Vienna Instruments","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx Konzerthaus Mozartsaal","$85.00","Reverb Mixing Extension for Vienna Instruments","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIRx Teldex Scoring Stage","$85.00","Reverb Mixing Extension for Vienna Instruments","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack Bundle","$825.00","The six major RoomPacks for Vienna MIR as a bundle","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 4","$199.00","Over 14,000 impulse responses & 3 halls - The Sage Gateshead","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 1","$199.00","The sound of the Vienna Konzerthaus for Vienna MIR","no reviews","no reviews","0"
"Reverbs","Flux","IRCAM Verb Session","$159.00","The little brother of the IRCAM VERB for a lower price.","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR PRO Upgrade from MIR PRO 24","$360.00","Upgrade to Vienna MIR PRO","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 3","$180.00","VSL MIR RoomPack 3 - Mystic Spaces","no reviews","no reviews","0"
"Reverbs","VSL Software","Vienna MIR RoomPack 2","$280.00","Vienna MIR Room Pack 2 - Legendary Studios & Sound Stages!","no reviews","no reviews","0"
"Reverbs","East West","QL Spaces","$132.00","""True Stereo"" Convolution Reverb from Nick Phoenix","2011","2011","0"
"Reverbs","Eventide","MangledVerb","$78.40","Unique effect combining reverb and distortion","no reviews","no reviews","0"
"Reverbs","Flux","IRCAM Verb V3","$559.00","Room Acoustics and Reverberation","no reviews","no reviews","0"
"Reverbs","Toontrack","EZmix-Pack Ambient Reverbs","$27.79","50 Reverbs for Sound Design, Ambient Soundscapes and Mixing","no reviews","no reviews","0"
"Reverbs","Waves","Abbey Road Reverb Plates","$29.00","Legendary EMT 140 Reverb Plates Plugin","no reviews","no reviews","0"
"Reverbs","Lexicon","LXP Native  Reverb","$74.43","LXP Native Reverb Plug-in Bundle","no reviews","no reviews","0"
"Reverbs","Lexicon","MPX Native Reverb","$38.71","MPX Native Reverb - AAX/VST/AU/RTAS Reverb Plug-in","no reviews","no reviews","0"
"Reverbs","Waves","H-Reverb","$66.49","Finite Impulse Response reverberation plugin","no reviews","no reviews","0"
"Reverbs","Waves","IR-1 Convolution Reverb","$58.55","Legendäry Convolution reverb plugin","no reviews","no reviews","0"
"Reverbs","Waves","Renaissance Reverb","$48.63","Legendary Reverb plugin","no reviews","no reviews","0"
"Reverbs","Eventide","2016 Stereo Room","$197.49","The SP2016 offers a Natural and Distinctive Sound!","no reviews","no reviews","0"
"Reverbs","Eventide","Blackhole","$197.49","Reverb Effect for Producing Huge Spaces and Soundscapes!","no reviews","no reviews","0"
"Reverbs","Softube","TSAR-1","$133.98","True stereo reverb with intuitive user interface","no reviews","no reviews","0"
"Reverbs","Overloud","BreVerb 2","$169.00","Algorithmic Reverberation plug-in","no reviews","no reviews","0"
"Reverbs","Toontrack","EZmix-Pack Ambient","$34.74","EZmix-Pack Ambient - Expansion for EZmix2","no reviews","no reviews","0"
"Reverbs","Softube","TSAR-1R","$43.67","True stereo reverease of use combined with high-end quality","no reviews","no reviews","0"
"Reverbs","Rob Papen","RP-VERB 2","$128.02","Unique reverb from Rob Papen incl. RP-Delay","no reviews","no reviews","0"
"Reverbs","UVI","Sparkverb","$149.00","Ingenious and efficient reverb plug-in","2014","2014","0"
"Reverbs","Softube","Spring Reverb","$43.67","Realistic replica of a vintage spring reverb","no reviews","no reviews","0"
"Dynamics","Waves","L1 Ultramaximizer Native","$44.66","Legendary Loudness Maximizer","no reviews","no reviews","0"
"Dynamics","Flux","Elixir","$159.00","Limiter for the exact compliance of technical parameters","no reviews","no reviews","0"
"Dynamics","Flux","Syrah","$99.00","Syrah - a new generation dynamics processor.","no reviews","no reviews","0"
"Dynamics","Flux","Pure Compressor","$119.00","Pure Compressor - Precision With Full Control","no reviews","no reviews","0"
"Dynamics","Flux","Pure DCompressor","$119.00","Recover the original dynamics of an Audio Signal","no reviews","no reviews","0"
"Dynamics","Flux","Pure Expander","$119.00","Remove disturbing noise or roomeffects from signals","no reviews","no reviews","0"
"Dynamics","Flux","Pure DExpander","$119.00","Pure De-Expander increases the low-level of a signal","no reviews","no reviews","0"
"Dynamics","Softube","Tube-Tech CL 1B","$131.99","Emulation of the famous CL 1B compressor","no reviews","no reviews","0"
"Dynamics","Sample Magic","Boost Pro","$79.00","Powerful audio processing plugin","no reviews","no reviews","0"
"Dynamics","McDSP","6034 Ultimate Multi-band","$99.00","Flexible multi-band dynamics processor","no reviews","no reviews","0"
"Dynamics","Audified","STA PreAmp","$44.00","Analogue Valve Saturation for your Tracks","no reviews","no reviews","0"
"Dynamics","Audified","u73b Compressor","$134.00","Faithful Emulation of a German Broadcast Compressor/Limiter","2016","2015","0"
"Dynamics","Audified","U78 Saturator","$134.00","Valve saturating Plug-in","2017","2017","0"
"Dynamics","Sample Magic","Boost","$49.00","Powerful mix processing utility","no reviews","no reviews","0"
"Dynamics","U-HE","Presswerk","$129.00","Powerful Dynamics Processor with a musical soul","no reviews","no reviews","0"
"Dynamics","Brainworx","Black Box HG-2","$247.12","Instant Tube Vibe for your tracks","no reviews","no reviews","0"
"Dynamics","Zynaptiq","Unveil","$395.98","De-Reverberation and Signal Focusing","no reviews","no reviews","0"
"Dynamics","Audionamix","ADX VVC","$99.00","Controlling Volume Level and Pan Position of Lead Vocals","no reviews","no reviews","0"
"Dynamics","XLN Audio","DS-10 Drum Shaper","$48.63","Transient Shaper for Drums","no reviews","no reviews","0"
"Dynamics","SoundRadix","Drum Leveler","$149.00","Beat Detection-based downward and upward Compressor/Expander","no reviews","no reviews","0"
"Dynamics","Brainworx","bx_boom!","$74.43","Makes your kick drums thunder!","no reviews","no reviews","0"
"Dynamics","iZotope","RX Loudness Control","$306.66","Automatic Global Loudness Correction","no reviews","no reviews","0"
"Dynamics","McDSP","CompressorBank","$49.00","3 Vintage and Modern High-End Compressor Plug-ins","no reviews","no reviews","0"
"Dynamics","McDSP","SPC2000","$49.00","Multiple parallel and serial compression combinations","no reviews","no reviews","0"
"Dynamics","McDSP","DE555 De-esser","$39.00","New Generation of De-essing Technology","no reviews","no reviews","0"
"Dynamics","McDSP","6030 Ultimate Compressor","$79.00","10 Compressor Modules in a Single Interface","no reviews","no reviews","0"
"Dynamics","McDSP","4030 Retro Compressor","$29.00","Unique Original Algorithms with Transparent Vintage Sound","no reviews","no reviews","0"
"Dynamics","Brainworx","bx_saturator V2","$197.49","Multi-band tool for Mixing, Mastering & Sound-design","no reviews","no reviews","0"
"Dynamics","Elysia","mpressor","$197.49","Emulation of the famous Creative Compressor","no reviews","no reviews","0"
