"Kinds","company","product","price","brief","newest time","oldest time","if Kontakt"
"Ambient / Chill / New Age","Ueberschall","Ambient Textures","$48.63","Ambient, Sound Effects, Loops and Samples","no reviews","no reviews","0"
"Ambient / Chill / New Age","Ueberschall","Nightshift 2","$48.63","10 Construction Kits with Chilled Tunes for Relaxed Moods","no reviews","no reviews","0"
"Ambient / Chill / New Age","Big Fish Audio","Prometheus: Ambient Sci Fi & Ethereal Soundscapes","$41.06","Film Scoring & Ambient Cinematic Construction Kits","no reviews","no reviews","1"
"Ambient / Chill / New Age","Big Fish Audio","Acoustic Soundscapes","$90.30","Cinematic Soundscapes & loops for film, games, and much more","2013","2013","1"
"Ambient / Chill / New Age","Best Service","Spiritual Voices","$49.00","Magic authentic ethno vocal collection from India and Africa","no reviews","no reviews","0"
"Ambient / Chill / New Age","Ueberschall","Lounge Bundle","$197.49","Creative selection of Lounge and Jazz-related styles","no reviews","no reviews","0"
"Ambient / Chill / New Age","Zero-G","Distant Lights","$51.61","Distant Lights Sci-Fi Sounds","no reviews","no reviews","1"
"Ambient / Chill / New Age","Big Fish Audio","Stratus: Ambient Loops","$69.97","Colorful melodies and experimental rhythm loops","no reviews","no reviews","1"
"Ambient / Chill / New Age","Big Fish Audio","Ambient Guitars","$90.30","20 Ambient Guitar Construction Kits","no reviews","no reviews","1"
"Ambient / Chill / New Age","Ueberschall","Acoustic Lounge","$147.87","24 Construction Kits of Smooth and Soulful Tunes","no reviews","no reviews","0"
"Ambient / Chill / New Age","Ueberschall","80s Synthwave","$48.63","Classic 80s synth-based hits with a modern edge","no reviews","no reviews","0"
"Ambient / Chill / New Age","Big Fish Audio","Island Fever","$58.91","12 Laid-back construction kits loaded with Island Sounds","no reviews","no reviews","1"
"Ambient / Chill / New Age","Big Fish Audio","Ambient Piano","$69.30","Ambient and Cinematic Piano Styles","no reviews","no reviews","1"
"Ambient / Chill / New Age","Ueberschall","Chillout Lounge 2","$48.63","Relaxed and refined Chillout Moods!","no reviews","no reviews","0"
"Ambient / Chill / New Age","Ueberschall","Ambient Noises","$48.63","A trip to the darker end of the ambient spectrum","no reviews","no reviews","0"
"Ambient / Chill / New Age","Ueberschall","Chillout Lounge","$48.63","Electonic to jazzy grooves","no reviews","no reviews","0"
"Ambient / Chill / New Age","Big Fish Audio","Illusion","$90.30","Soundscapes and sound design for film, games & media","no reviews","no reviews","1"
"Ambient / Chill / New Age","Big Fish Audio","Ambient Skyline 3","$90.30","ambient & cinematic chill-out loops, atmospheres & rhythms!","no reviews","no reviews","1"
"Ambient / Chill / New Age","Ueberschall","Low Tuned Strings","$48.63","The lowest acoustic bass sounds - gets under your skin!","no reviews","no reviews","0"
"Ambient / Chill / New Age","Big Fish Audio","Guitar Sessions: Contemporary Pop Guitars","$90.30","Sound Tools for pop to country - Unique guitars!","no reviews","no reviews","no requirement"
