"company","product","price","brief","newest time","oldest time","if Kontakt"
"Best Service","Studio Box Mark III Upgrade","$99.00","Upgrade from Studio Box Mark II to Mark III","no reviews","no reviews","0"
"Best Service","Studio Box Mark III","$399.00","10.000 foley sound effects and ambiences","2017","2010","0"
"Best Service","Foley Stage","$895.00","Huge Sound FX library for film-, game- and music production","no reviews","no reviews","0"
"Best Service","Psy - FX","$89.00","over 900 sfx samples, mystic, spherical, events and impacts","no reviews","no reviews","no requirement"
"Tovusound","Edward","$79.00","Get access to a playable arsenal of Footsteps","no reviews","no reviews","1"
"Tovusound","Edward Ultimate SUITE","$399.00","High quality, real recorded and playable Foley-FX","2016","2016","1"
"Bluezone","Robot Sound Effects Bundle","$65.50","3 Robot Sound Libraries in one Bundle","no reviews","no reviews","0"
"Best Service","FX PAC","$259.00","Sound effects library,  WAV/Audio, 3900 samples","no reviews","no reviews","no requirement"
"Best Service","Red Box","$259.00","Sound effects library, human and nature, 5 CDs, WAV/Audio","no reviews","no reviews","no requirement"
"Best Service","Blue Box 16 CD-Set","$259.00","Sound FX Library, Human and Nature, 2000 Wav sounds","no reviews","no reviews","no requirement"
"Best Service","Black Box 8 CD-Set","$159.00","Cinematic sound effects library, 8 CDs, WAV/Audio","2000","2000","no requirement"
"Bluezone","Impact Sound Effects Bundle","$38.71","3 Impact Sound Effect libraries in One","no reviews","no reviews","0"
"Big Fish Audio","Static Flux: Glitches, Rises, FX and Hits","$40.75","Over 1.3 GB of Glitches, Rises, FX, and Hits","no reviews","no reviews","1"
"Bluezone","Dark Cinematic Ambiences Bundle","$56.57","4 Dark Cinematic Ambience Sound Libraries in One","no reviews","no reviews","0"
"Bluezone","Explosion Sound Effects Bundle","$38.71","3 Explosion Sound Effects Libraries in one Bundle","no reviews","no reviews","0"
"Bluezone","BC Bundle - Vol.1","$99.00","Cinematic & Sound Design Elements","no reviews","no reviews","0"
"Best Service","Toxic Soundslave","$59.00","Sound collection for games, movie and sounddesign","no reviews","no reviews","no requirement"
"Best Service","AD FX","$89.00","Sounds and SFX for advertising, trailers and jingles.","2001","2001","no requirement"
"Best Service","X-FX","$89.00","Best SFX for professional use in commercials","no reviews","no reviews","no requirement"
"Ueberschall","Score Elements","$109.00","The perfect sounds and sound FX for film, games & more","no reviews","no reviews","0"
"Ueberschall","Sensory Disruption","$98.25","High-end sound fx for film, games & multimedia!","no reviews","no reviews","0"
"Ueberschall","Future FX","$38.71","Professional & futuristic sound FX library","2003","2003","0"
"Best Service","Studio Box SFX Weather","$19.00","Studio Box SFX - Weather","no reviews","no reviews","0"
"Best Service","Studio Box SFX Water 2","$19.00","Studio Box SFX - Water 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Water 1","$19.00","Studio Box SFX - Water 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX Voices","$19.00","Studio Box SFX - Voices","no reviews","no reviews","0"
"Best Service","Studio Box SFX Transportation 2","$19.00","Studio Box SFX - Transportation 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Transportation 1","$19.00","Studio Box SFX - Transportation 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX Sports","$19.00","Studio Box SFX - Sports","no reviews","no reviews","0"
"Best Service","Studio Box SFX Marine","$19.00","Studio Box SFX - Marine","no reviews","no reviews","0"
"Best Service","Studio Box SFX Machines 2","$19.00","Studio Box SFX - Machines 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Machines 1","$19.00","Studio Box SFX - Machines 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX Human Surroundings 2","$19.00","Studio Box SFX - Human Surroundings 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Human Surroundings 1","$19.00","Studio Box SFX - Human Surroundings 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX House","$19.00","Studio Box SFX - House","no reviews","no reviews","0"
"Best Service","Studio Box SFX Fire, Guns, Explosions","$19.00","Studio Box SFX - Fire, Guns, Explosions","no reviews","no reviews","0"
"Best Service","Studio Box SFX Fantasy 4","$19.00","Studio Box SFX - Fantasy 4","no reviews","no reviews","0"
"Best Service","Studio Box SFX Fantasy 3","$19.00","Studio Box SFX - Fantasy 3","no reviews","no reviews","0"
"Best Service","Studio Box SFX Fantasy 2","$19.00","Studio Box SFX - Fantasy 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Fantasy 1","$19.00","Studio Box SFX - Fantasy 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX Cartoon and short FX","$19.00","Studio Box SFX - Cartoon & short FX","no reviews","no reviews","0"
"Best Service","Studio Box SFX  Cars and Motors 2","$19.00","Studio Box SFX - Cars and Motors","no reviews","no reviews","0"
"Best Service","Studio Box SFX Cars and Motors 1","$19.00","Studio Box SFX - Cars and Motors 1","no reviews","no reviews","0"
"Best Service","Studio Box SFX Aviation","$19.00","Studio Box SFX - Aviation","no reviews","no reviews","0"
"Best Service","Studio Box SFX Animals 2","$19.00","Sound FX - animals 2","no reviews","no reviews","0"
"Best Service","Studio Box SFX Animals 1","$19.00","Sound FX - Animals 1","no reviews","no reviews","0"
"Zero-G","iFX Midget Gems","$10.71","Over 2000 samples designed for multimedia & web designer","no reviews","no reviews","1"
"Zero-G","iFX Matinee","$10.71","Over 1500 samples for internet, multimedia and games!","no reviews","no reviews","1"
"Zero-G","iFX Games","$10.71","The perfect sound solution for games development!","no reviews","no reviews","1"
"Best Service","Action Cutz","$89.00","SFX material for ""hollywood like"" sound productions","no reviews","no reviews","0"
