"Kinds","company","product","price","brief","newest time","oldest time","if Kontakt"
"Strings","Best Service","Chris Hein Solo Violin","$259.00","Two fantastic sounding Solo Violin Instruments","2016","2016","1"
"Strings","Best Service","Chris Hein Solo ContraBass","$179.00","Simply the best virtual Solo Contrabass ever created!","2017","2017","1"
"Strings","Best Service","Chris Hein Solo Cello","$259.00","Two fantastic sounding Solo Cello instruments","2017","2017","1"
"Strings","Best Service","Chris Hein Solo Strings Complete","$599.00","Collection of virtual Solo Strings by Chris Hein","2017","2017","1"
"Strings","Best Service","Chris Hein Solo Viola","$179.00","Quite simply the best virtual Viola ever created","2017","2017","1"
"Strings","Best Service","Klanghaus Bio Machine","$99.00","Self-built instruments meet sound design","2016","2016","0"
"Strings","Best Service","Emotional Cello","$259.00","Virtual Cello for classic and cinematic use","2016","2015","1"
"Strings","VSL Instruments Collections","Synchron Strings I","$417.00","Vienna’s first String Library recorded at Synchron Stage","no reviews","no reviews","0"
"Strings","Best Service","Chris Hein Solo Strings Complete Upgrade 2","$299.00","Upgrade Solo Violin & Viola to CH Solo Strings Complete","no reviews","no reviews","1"
"Strings","Best Service","Chris Hein Solo Strings Complete Upgrade Viola","$449.00","Upgrade from CH Solo Viola to CH Solo Strings Complete","no reviews","no reviews","1"
"Strings","Best Service","Chris Hein Solo Strings Complete Upgrade Violin","$449.00","Upgrade from CH Solo Violin to CH Solo Strings Complete","no reviews","no reviews","1"
"Strings","Best Service","Era II Medieval Legends Upgrade","$99.00","Upgrade from ERA to ERA II Medieval Legends","no reviews","no reviews","0"
"Strings","Best Service","ERA II  Medieval Legends","$259.00","A huge set of historical instruments","2016","2012","0"
"Strings","Best Service","Complete Orchestral Collection","$189.00","Complete Classical Orchestra for a budget price","2014","2013","1"
"Strings","Output","Analog Strings","$199.00","Virtual Strings for the modern music maker","no reviews","no reviews","1"
"Strings","VSL Instruments Bundles","Dimension Strings Bundle","$1170.00","Most ambitious and time intensive production by VSL","no reviews","no reviews","0"
"Strings","VSL Instruments Collections","Dimension Strings II","$695.00","Muted Dimension String Ensembles","no reviews","no reviews","0"
"Strings","Strezov Sampling","Cornucopia: Strings 2","$179.00","20 piece String Ensemble with a Special Eastern Europe Vibe","no reviews","no reviews","1"
"Strings","Strezov Sampling","Macabre Solo Strings","$179.00","Violin, Viola and Cello with a dark tone","2016","2016","1"
"Strings","cinesamples","Tina Guo Acoustic Cello Legato","$69.00","Tina Guo's Seamless Legato Acoustic Cello","2015","2015","1"
"Strings","VSL Instruments Collections","Dimension Strings I","$595.00","The largest and most detailed strings library from VSL","2014","2012","0"
