Hornberg Research,1,881.28,n,881.28
Zero-G,184,7443.42,y,40.45336957
Ueberschall,183,21783,y,119.0327869
Best Service,183,23159.01,y,126.5519672
Magix,7,4870.13,n,695.7328571
Native Instruments,11,6384.35,n,580.3954545
Soundiron,78,9793,y,125.5512821
Audioease,5,2895.93,n,579.186
Zynaptiq,14,6407.15,n,457.6535714
Make Music,2,778.07,n,389.035
V3 SOUND,1,386.06,n,386.06
cinesamples,51,18605,y,364.8039216
Spectrasonics,5,1845,n,369
Heavyocity,32,3631.2,y,113.475
Audionamix,10,3590,n,359
Synchro Arts,4,1365.59,n,341.3975
Steinberg,10,3411.01,n,341.101
Project SAM,28,14283.53,y,510.1260714
Pro Audio DSP,1,326.51,n,326.51
Output,26,2464,y,94.76923077
Flux,25,8075,n,323
Arturia,2,644.98,n,322.49
Soniccouture,24,2182,y,90.91666667
Vertigo,1,299,n,299
IK-Multimedia,19,5620.17,n,295.7984211
Impact Soundworks,21,2085,y,99.28571429
Strezov Sampling,20,6500,y,325
Ableton,5,1471.78,n,294.356
Cinematique Instruments,18,1805.15,y,100.2861111
Vir2 (by Big Fish),17,2672.25,y,157.1911765
Realsamples,16,2368.95,y,148.059375
FabFilter,21,5851.38,n,278.6371429
Celemony,6,1557.13,n,259.5216667
Elysia,3,741.35,n,247.1166667
Wallander Instruments,4,986,n,246.5
iZotope,56,13557.66,n,242.1010714
Eventide,16,3759.05,n,234.940625
Antares,10,2292.52,n,229.252
Sample Logic,11,2136.73,y,194.2481818
Gothic Instruments,11,989.46,y,89.95090909
Evolution Series,11,2709,y,246.2727273
Maag Audio,1,229,n,229
Brainworx,25,5670.8,n,226.832
Zplane,4,836,n,209
East West,60,12294.23,n,204.9038333
Three-Body Tech,1,199,n,199
Presonus,5,993.42,n,198.684
McDSP,30,5518,n,183.9333333
Umlaut Audio,9,820.25,y,91.13888889
Best Service Gift-Voucher,2,349.62,n,174.81
Synthogy,8,1382,n,172.75
SoundRadix,5,845,n,169
e-instruments,7,739.02,y,105.5742857
Ample Sound,32,5397,n,168.65625
Lexicon,5,834.64,n,166.928
SPL,8,1292.13,n,161.51625
KEEPFOREST,7,1273,y,181.8571429
Crypton,7,1098,n,156.8571429
Deskew Technologies,3,457,n,152.3333333
Slate Digital,27,3995.4,n,147.9777778
Cinematic Strings,6,2108,y,351.3333333
Prominy,6,1035,y,172.5
Chandler Limited,1,147.87,n,147.87
ENGL,1,147.87,n,147.87
Virtual Guitarist,10,1467.3,n,146.73
Eiosis,4,566.04,n,141.51
UVI,60,8410,n,140.1666667
VILabs,5,696.5,n,139.3
Modartt,23,3203.71,n,139.2917391
MVPloops,4,556,n,139
In Session Audio,5,655,y,131
U-HE,9,1247,n,138.5555556
SoundLib,2,276.95,n,138.475
Embertone,5,875,y,175
Sugar Bytes,14,1931.28,n,137.9485714
Power FX,4,115.13,y,28.7825
Overloud,3,407,n,135.6666667
accusonus,12,1618,n,134.8333333
Waldorf,5,659.96,n,131.992
Lindell Audio,3,393.99,n,131.33
Rob Papen,15,1942.54,n,129.5026667
Handheld Sound,4,596,y,149
Re-Compose,2,236.95,n,118.475
Gospelmusicians,6,709.35,n,118.225
Softube,51,5927.65,n,116.2284314
Audified,14,1581,n,112.9285714
Sonivox,3,205.43,y,68.47666667
Tone2,11,1185,n,107.7272727
Waves,113,12030.82,n,106.4674336
MusicLab,11,1149,n,104.4545455
Acousticsamples,6,625.8,n,104.3
XLN Audio,36,3735.45,n,103.7625
Sonible,5,496.23,n,99.246
SonuScore,3,377,y,125.6666667
Tovusound,3,557,y,185.6666667
HybridTwo,3,497,y,165.6666667
Fable Sounds,3,2993,y,997.6666667
Plug And Mix,2,198,n,99
IRCAM Lab,2,198,n,99
Avid,2,196.5,n,98.25
Polyverse Music,4,383.09,n,95.7725
AAS,7,666.43,n,95.20428571
2nd Sense Audio,2,188,n,94
Sample Magic,5,392,n,78.4
PSOUND,3,213,n,71
Divergent Audio Group,2,111.15,y,55.575
Big Fish Audio,249,17395.14,y,69.86
Arobas Music,1,69.47,n,69.47
Audiowiesel,3,207.86,n,69.28666667
Toontrack,153,10101.04,n,66.01986928
Unfiltered Audio,3,185.59,n,61.86333333
Bluezone,5,298.49,n,59.698
WaveDNA,3,177.65,n,59.21666667
Audioworkshop,12,474.4,n,39.53333333
Pace,1,38.71,n,38.71
Nomad Factroy,3,113,n,37.66666667
Vital Arts,1,299,y,299
Neocymatics,1,245,y,245
Drumasonic,1,199,y,199
DVD-Lernkurs,29,1086.51,n,37.46586207
